,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1986,,,,,,16.5,20.6,17.9,14.2,8.0,0.9,-1.8
1,1987,-5.6,-7.0,1.4,8.6,14.2,18.7,22.0,18.9,14.8,6.2,2.1,-1.2
2,1988,-5.8,-7.9,-1.7,5.6,13.7,17.4,22.4,20.5,14.3,6.2,3.9,-3.9
3,1989,-3.5,-7.4,-2.8,4.0,12.6,18.2,21.4,18.9,14.7,9.0,1.1,-11.0
4,1990,-1.9,-4.3,0.3,8.0,11.5,18.5,20.8,20.2,14.9,8.9,3.9,-1.8
5,1991,-6.7,-3.2,1.0,8.3,16.1,20.1,21.7,21.3,14.6,9.8,2.0,-3.2
6,1992,-5.1,-5.1,-1.7,5.1,12.2,16.4,17.7,17.7,14.6,6.9,2.4,-2.5
7,1993,-4.3,-9.5,-2.5,6.3,12.3,17.3,21.4,21.1,13.6,7.3,2.3,-3.5
8,1994,-13.5,-9.3,-1.1,6.8,11.5,19.1,21.2,18.6,15.8,9.3,4.8,-1.1
9,1995,-4.0,-8.4,1.4,3.7,13.0,19.8,21.3,21.5,13.6,10.1,0.4,-6.0
10,1996,-7.4,-6.7,-3.4,3.5,11.4,18.6,19.6,20.4,16.3,8.6,0.5,-0.7
11,1997,-6.8,-4.3,-2.1,5.7,8.9,19.5,20.1,18.2,15.3,8.5,1.6,-1.9
12,1998,-3.4,-1.3,1.2,7.9,16.8,18.7,21.3,21.3,17.5,10.0,4.1,-0.2
13,1999,-7.4,-2.6,-0.4,7.8,15.0,19.5,22.9,19.2,16.7,9.3,4.6,-2.0
14,2000,-6.9,-4.0,3.3,5.9,13.5,17.2,19.5,19.4,14.7,9.8,2.6,-8.2
15,2001,-5.3,-4.6,-1.4,7.6,14.2,19.3,20.0,22.4,15.8,9.8,6.3,0.9
16,2002,-1.0,-2.5,-0.2,6.7,10.7,18.8,23.4,21.2,19.0,8.1,2.4,-2.8
17,2003,-9.4,-8.2,-1.8,5.0,12.1,18.4,21.2,21.6,16.1,8.4,4.1,-0.7
18,2004,-10.5,-4.8,1.8,6.3,12.8,17.0,20.3,18.8,17.6,9.9,4.3,-3.7
19,2005,-7.9,-4.9,-2.1,7.3,11.4,21.9,23.4,21.9,18.1,10.5,4.4,-4.1
20,2006,-1.0,-4.8,0.5,7.9,13.7,19.2,22.9,20.7,15.1,8.3,4.9,1.3
21,2007,-3.7,-8.8,-0.4,5.8,14.0,20.0,20.7,21.6,17.3,13.0,2.0,-3.6
22,2008,-2.9,-5.8,-2.7,9.0,11.6,19.4,21.4,19.5,16.2,8.3,2.3,-3.7
23,2009,-10.0,-4.3,0.3,7.3,12.8,17.2,18.8,20.2,16.1,8.0,5.3,-3.1
24,2010,-6.1,-4.1,4.2,10.3,15.7,18.8,23.0,21.5,15.6,9.6,3.9,-4.7
25,2011,-7.8,-6.0,-1.0,6.8,14.0,18.8,23.7,21.3,17.2,10.1,6.0,0.0
26,2012,-2.7,-1.3,6.2,6.8,15.9,20.2,23.5,20.8,15.6,9.9,3.1,1.2
27,2013,-3.0,-5.6,-0.3,5.8,14.6,18.6,21.8,20.2,15.3,10.4,1.5,-5.0
28,2014,-9.3,-9.2,-4.8,5.9,13.9,19.3,19.6,19.5,15.9,10.4,1.7,-0.6
29,2015,-8.1,-13.3,-2.5,7.2,15.6,,,,,,,
